date,close,volume,open,high,low
16:00,192.23,"4,65,41,444",191.72,197.18,191.4501
13-11-2018,192.23,46725710,191.63,197.18,191.4501
12-11-2018,194.17,50991030,199,199.85,193.79
09-11-2018,204.47,34317760,205.55,206.01,202.25
08-11-2018,208.49,25289270,209.98,210.12,206.75
07-11-2018,209.95,33291640,205.97,210.06,204.13
06-11-2018,203.77,31774720,201.92,204.72,201.69
05-11-2018,201.59,66072170,204.3,204.39,198.17
02-11-2018,207.48,91046560,209.55,213.65,205.43
01-11-2018,222.22,52954070,219.05,222.36,216.81
31-10-2018,218.86,38016810,216.88,220.45,216.62
30-10-2018,213.3,36487930,211.15,215.18,209.27
29-10-2018,212.24,45713690,219.19,219.69,206.09
26-10-2018,216.3,47191700,215.9,220.19,212.67
25-10-2018,219.8,29027340,217.71,221.38,216.75
24-10-2018,215.09,39992120,222.6,224.23,214.54
23-10-2018,222.73,38681170,215.83,223.25,214.7
22-10-2018,220.65,28751540,219.79,223.36,218.94
19-10-2018,219.31,32874330,218.06,221.26,217.43
18-10-2018,216.02,32389280,217.86,219.74,213
17-10-2018,221.19,22692880,222.3,222.64,219.34
16-10-2018,222.15,28802550,218.93,222.99,216.7627
15-10-2018,217.36,30280450,221.16,221.83,217.27
12-10-2018,222.11,39494770,220.42,222.88,216.84
11-10-2018,214.45,52902320,214.52,219.5,212.32
10-10-2018,216.36,41084070,225.46,226.35,216.05
09-10-2018,226.87,26656630,223.64,227.27,222.2462
08-10-2018,223.77,28784550,222.21,224.8,220.2
05-10-2018,224.29,33507770,227.96,228.41,220.58
04-10-2018,227.99,31961120,230.78,232.35,226.73
03-10-2018,232.07,28540490,230.05,233.47,229.78
02-10-2018,229.28,24435010,227.25,230,226.63
01-10-2018,227.26,23171020,227.95,229.42,226.35
28-09-2018,225.74,22560440,224.79,225.84,224.02
27-09-2018,224.95,29729270,223.82,226.44,223.54
26-09-2018,220.42,23430370,221,223.75,219.76
25-09-2018,222.19,22811140,219.75,222.82,219.7
24-09-2018,220.79,27581270,216.82,221.26,216.63
21-09-2018,217.66,95584080,220.78,221.36,217.29
20-09-2018,220.03,26388050,220.24,222.28,219.15
19-09-2018,218.37,26869880,218.5,219.62,215.3
18-09-2018,218.24,31495630,217.79,221.85,217.12
17-09-2018,217.88,36810120,222.15,222.95,217.27
14-09-2018,223.84,31801970,225.75,226.84,222.522
13-09-2018,226.41,41411350,223.52,228.35,222.57
12-09-2018,221.07,49118510,224.94,225,219.84
11-09-2018,223.85,35644510,218.01,224.299,216.56
10-09-2018,218.33,39194720,220.95,221.85,216.47
07-09-2018,221.3,37418910,221.85,225.37,220.71
06-09-2018,223.1,34121240,226.23,227.35,221.3
05-09-2018,226.87,33290830,228.99,229.67,225.1
04-09-2018,228.36,27363960,228.41,229.18,226.63
31-08-2018,227.63,43177540,226.51,228.87,226
30-08-2018,225.03,48696960,223.25,228.26,222.4
29-08-2018,222.98,27074260,220.15,223.49,219.41
28-08-2018,219.7,22751390,219.01,220.54,218.92
27-08-2018,217.94,20400770,217.15,218.74,216.33
24-08-2018,216.16,18457720,216.6,216.9,215.11
23-08-2018,215.49,18505780,214.65,217.05,214.6
22-08-2018,215.05,18965930,214.1,216.36,213.84
21-08-2018,215.04,25682700,216.8,217.19,214.025
20-08-2018,215.46,30149410,218.1,219.18,215.11
17-08-2018,217.58,35034410,213.44,217.95,213.16
16-08-2018,213.32,27595310,211.75,213.8121,211.47
15-08-2018,210.24,28595230,209.22,210.74,208.33
14-08-2018,209.75,20679270,210.155,210.56,208.26
13-08-2018,208.87,25864510,207.7,210.952,207.7
10-08-2018,207.53,24592460,207.36,209.1,206.67
09-08-2018,208.88,23389530,207.28,209.78,207.2
08-08-2018,207.25,22493750,206.05,207.81,204.52
07-08-2018,207.11,25525650,209.32,209.5,206.76
06-08-2018,209.07,25396100,208,209.25,207.07
03-08-2018,207.99,33408050,207.03,208.74,205.4803
02-08-2018,207.39,62317430,200.58,208.38,200.35
01-08-2018,201.5,67812280,199.13,201.76,197.31
31-07-2018,190.29,37847260,190.3,192.14,189.34
30-07-2018,189.91,20912890,191.9,192.2,189.07
27-07-2018,190.98,23975350,194.99,195.19,190.1
26-07-2018,194.21,19005150,194.61,195.96,193.61
25-07-2018,194.82,16553500,193.06,194.85,192.43
24-07-2018,193,18680930,192.45,193.6601,192.05
23-07-2018,191.61,15955820,190.68,191.96,189.56
20-07-2018,191.44,20670830,191.78,192.43,190.17
19-07-2018,191.88,20182050,189.69,192.55,189.69
18-07-2018,190.4,16365720,191.78,191.8,189.93
17-07-2018,191.45,15515000,189.75,191.87,189.2
16-07-2018,190.91,15009800,191.52,192.65,190.415
13-07-2018,191.33,12506830,191.08,191.84,190.9
12-07-2018,191.03,18000180,189.53,191.41,189.31
11-07-2018,187.88,18776390,188.5,189.7799,187.61
10-07-2018,190.35,15801370,190.71,191.28,190.1801
09-07-2018,190.58,19636390,189.5,190.68,189.3
06-07-2018,187.97,17426160,185.42,188.434,185.2
05-07-2018,185.4,16543880,185.26,186.41,184.28
03-07-2018,183.92,13954810,187.79,187.95,183.54
02-07-2018,187.18,17675210,183.82,187.3,183.42
29-06-2018,185.11,22551660,186.29,187.19,182.91
28-06-2018,185.5,17352380,184.1,186.21,183.8
27-06-2018,184.16,24987260,185.228,187.28,184.03
26-06-2018,184.43,24378480,182.99,186.53,182.54
25-06-2018,182.17,31632320,183.4,184.92,180.73
22-06-2018,184.92,27185130,186.12,186.15,184.7
